# passwords in this file will override the command line parameter.
# anything following the / is considered part of the password until
# the first white space. example:
#
# gregory/password123456
#
# if your instance will be exposed, use the --su-password command line
# argument for the 6 special users: superadmin, admin, shusher, hunter,
# puzzler, & api.  setting them here will also work.
#
# take care not to accidentally include this modified file with your
# passwords in a PR because I will merge it immediately
#
# ---- HungKings ----
# Cú pháp mở rộng: `uid|TênHiểnThị`. lila bắt tên hiển thị phải trùng uid khi bỏ
# hoa/thường, nên chỉ đổi được KIỂU CHỮ — không thêm được dấu hay khoảng trắng.
#
# THỨ TỰ QUYẾT ĐỊNH HỆ SỐ: env.stable_rating cho điểm theo vị trí trong danh sách
# (~2400 cho dòng đầu, giảm dần tới ~600 ở dòng cuối). Nên dòng đầu chính là người
# sẽ đứng đầu bảng xếp hạng trên trang chủ. Trên 2100 thì seed tự gắn danh hiệu.

minhkhoi|MinhKhoi
tuankiet|TuanKiet
quanganh|QuangAnh
hoangnam|HoangNam
ducanh|DucAnh
giabao|GiaBao
khanhduy|KhanhDuy
thanhtung|ThanhTung
baochau|BaoChau
phuongvy|PhuongVy
ngocanh|NgocAnh
thuylinh|ThuyLinh
maianh|MaiAnh
kimngan|KimNgan
hongnhung|HongNhung
vietanh|VietAnh
namphong|NamPhong
trungkien|TrungKien
daiduong|DaiDuong
xuanmai|XuanMai
thuha|ThuHa
lananh|LanAnh
dieuhuong|DieuHuong
haiyen|HaiYen
tuyetnhi|TuyetNhi
quynhchi|QuynhChi
phuonganh|PhuongAnh
tuananh|TuanAnh
minhhieu|MinhHieu
giahuy|GiaHuy
dangkhoa|DangKhoa
baolong|BaoLong
huyhoang|HuyHoang
thaison|ThaiSon
vanlong|VanLong
dinhphuc|DinhPhuc
congminh|CongMinh
quochuy|QuocHuy
anhkiet|AnhKiet
tiendat|TienDat
hoangphuc|HoangPhuc
nhatminh|NhatMinh
truongan|TruongAn
vinhkhang|VinhKhang
tanphat|TanPhat
dinhtuan|DinhTuan
ngockhanh|NgocKhanh
camtu|CamTu
khanhvan|KhanhVan
thanhthao|ThanhThao
myduyen|MyDuyen
tuonglinh|TuongLinh
bichngoc|BichNgoc
thuytien|ThuyTien
kieuanh|KieuAnh
gianghan|GiangHan
khanhlinh|KhanhLinh
dieulinh|DieuLinh
tramanh|TramAnh
ngocmai|NgocMai
hoaiphuong|HoaiPhuong
yenchi|YenChi
kimanh|KimAnh
haiminh|HaiMinh
